date,time,device_norm,bug_type,hit_keyword,ref,time_score,confidence,flame_flag
2025-07-23,01:26:59,,313,JOURNAL_SHORTCUTS_CAL:suggestd,part2.txt,0,0.8,Yes
2025-07-23,01:26:59,,313,EXTERNAL_UI:duetexpertd,part2.txt,0,0.8,Yes
2025-07-23,01:26:59,,313,FLAME_MS:aad,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,MDM:BackgroundShortcutRunner,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,MDM:MobileConfig,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:JetsamEvent,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:logd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:triald,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,BUGTYPE:313,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,COMM_ENERGY:backboardd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,JOURNAL_SHORTCUTS_CAL:suggestd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,EXTERNAL_UI:duetexpertd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,FLAME_MS:aad,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,MDM:BackgroundShortcutRunner,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,MDM:MobileConfig,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:JetsamEvent,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:logd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:triald,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,BUGTYPE:313,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,COMM_ENERGY:backboardd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,JOURNAL_SHORTCUTS_CAL:suggestd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,EXTERNAL_UI:duetexpertd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,FLAME_MS:aad,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,MDM:BackgroundShortcutRunner,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,MDM:MobileConfig,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:JetsamEvent,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:logd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,LOGSYS:triald,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,BUGTYPE:313,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,COMM_ENERGY:backboardd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,JOURNAL_SHORTCUTS_CAL:suggestd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,EXTERNAL_UI:duetexpertd,part2.txt,0,0.8,Yes
2025-07-23,01:44:34,,313,FLAME_MS:aad,part2.txt,0,0.8,Yes
